aruco_ids,fruit_id,height,x,y,ma,MA,angle,perimeter,coff,calyx_MA,calyx_ma,calyx_MA_rel,calyx_ma_rel,area,maMAratio,KPIN,gt_weight
482,349.0,1275.6401977539062,4118.40283203125,731.9985961914062,44.81315751752712,69.03663931813428,90.89156341552734,180.86455638467908,20.79212895857584,44.81315751752712,69.03663931813428,0.6016045112965801,0.0409222976595281,2429.825404839877,0.6491213645412165,4217,102.34
25,326.0,1285.5667724609375,2690.771484375,708.1746215820312,46.83547906512103,52.817617674921,88.23129272460938,156.67577051676912,7.8136679965024225,46.83547906512103,52.817617674921,0.2564693701550984,0.1628751047273741,1942.8696171998597,0.8867397116125435,4217,120.91
85,348.0,1304.41259765625,1374.0069580078125,1089.423828125,37.35171338494433,43.95219347331514,39.6762924194336,127.92239105512932,2.0637728261586568,37.35171338494433,43.95219347331514,0.0830117530385987,0.0502624504373394,1289.380101366836,0.8498259229683683,4217,71.41
279,321.0,1286.43701171875,3516.009033203125,592.2636108398438,45.62479404064328,66.41929325774841,88.71735382080078,177.51725915805272,24.46974819293468,45.62479404064328,66.41929325774841,0.7304912149134741,0.1266066644728042,2380.044342590838,0.686920799707858,4217,96.56
467,314.0,1275.3348388671875,3669.763427734375,479.7788696289063,47.57154542289678,68.95995168262084,71.54695129394531,184.5921132243328,26.04069355357929,47.57154542289678,68.95995168262084,0.7475264959518733,0.1607136711099374,2576.52339451405,0.6898430793837936,4217,105.19
482,349.0,1282.5440673828125,4105.080078125,616.19189453125,44.89948335690384,69.60557579993818,87.08106231689453,181.96361010754103,21.394723640715437,44.89948335690384,69.60557579993818,0.6143205057190881,0.0319464411339053,2454.5690597656508,0.6450558427381577,4217,102.34
58,330.0,1332.1561279296875,3122.746337890625,657.3533325195312,53.74841086913706,66.54976626249677,147.96182250976562,189.4992633545024,26.42364508175921,53.74841086913706,66.54976626249677,0.7838570237659154,0.1699603342983588,2809.3253897998643,0.8076423688271653,4217,132.34
25,326.0,1287.4515380859375,2682.3330078125,593.9098510742188,47.664147052147925,52.593675335107385,78.80248260498047,157.5798149802167,8.167334785336074,47.664147052147925,52.593675335107385,0.279750843327348,0.1606444679435276,1968.8617790353908,0.9062714622708846,4217,120.91
434,352.0,1285.207275390625,1825.4122314453125,966.5945434570312,46.13339255985599,49.41779813630603,17.57637596130371,150.13579668434258,9.856086571991604,46.13339255985599,49.41779813630603,0.3928315438158717,0.0632579643700529,1790.5591216459843,0.9335380024947516,4217,95.34
377,341.0,1323.841552734375,1113.0001220703125,755.698974609375,45.50271986140776,50.99401351254878,85.16556549072266,151.6994538846165,17.23875193353165,45.50271986140776,50.99401351254878,0.6630698332311291,0.1281313696677641,1822.411439438124,0.892314935168033,4217,91.23
85,348.0,1309.5660400390625,1365.8956298828125,979.0704956054688,37.56157888396479,43.77410478901404,42.36445617675781,127.94820505114662,2.8516452461595176,37.56157888396479,43.77410478901404,0.1263992034808735,0.0379622536731178,1291.37089474353,0.8580776023863222,4217,71.41
279,321.0,1283.8128662109375,3517.101318359375,486.4423522949219,45.556582354979255,66.62767864226647,83.53998565673828,177.7762503516458,24.32995974717949,45.556582354979255,66.62767864226647,0.7270744026685344,0.1064254209360638,2383.942080450275,0.6837486054343729,4217,96.56
467,314.0,1268.1217041015625,3671.038818359375,373.3167419433594,47.18198109669032,70.3944138636017,67.15489959716797,186.4925957714945,26.400609284528358,47.18198109669032,70.3944138636017,0.7471181239632678,0.1072121114370641,2608.5805439823184,0.6702517786157226,4217,105.19
25,326.0,1289.6373291015625,2681.9453125,487.9398498535156,47.85245950057871,52.82001786112119,70.87957763671875,158.23222991417094,9.705441164509432,47.85245950057871,52.82001786112119,0.3244116307764802,0.1895211724612348,1985.1470809013288,0.905953110928444,4217,120.91
