,aruco_ids,fruit_id,height,x,y,ma,MA,angle,perimeter,coff,calyx_MA,calyx_ma,calyx_MA_rel,calyx_ma_rel,area,maMAratio,KPIN,gt_weight,x_calyx_MA_rel,x_maMAratio,height_calyx_ma,perimeter_coff
625,116,-476,1349.600464,3131.536377,791.7766724,47.01648695,62.05059763,122.6740036,172.136952,17.41030385,47.01648695,62.05059763,0.556716176,0.104452297,2291.321476,0.757712073,7145,87.29,1743.3769568083344,2372.802919891579,83743.5153529253,2996.956638132865
626,116,-476,1353.14856,3130.157227,733.6291504,47.47388542,62.02440718,121.2321777,172.7596491,17.38464535,47.47388542,62.02440718,0.555843769,0.083519335,2312.635994,0.765406516,7145,87.29,1739.8783906182687,2395.8427376502914,83928.23726047066,3003.3652303939466
627,116,-476,1345.044067,3132.175537,673.3798218,47.12667854,60.78399705,118.6609116,170.1851495,17.08324078,47.12667854,60.78399705,0.557186067,0.112455591,2249.810651,0.775313912,7145,87.29,1745.2045686146428,2428.419268662171,81757.154600648,2907.3138860887966
628,116,-476,1343.790161,3139.859863,610.1188354,47.79821432,60.54371822,119.5967789,170.7724328,16.56040286,47.79821432,60.54371822,0.546047036,0.047003912,2272.849309,0.789482637,7145,87.29,1714.5111716465162,2478.864844451699,81358.05285439243,2828.0602845502776
629,116,-476,1339.87793,3133.243408,549.0200195,48.05414154,59.73056775,118.1401672,169.8049229,16.96263605,48.05414154,59.73056775,0.56687178,0.060235997,2254.329257,0.804515064,7145,87.29,1776.1472678662262,2520.741520914698,80031.66947459476,2880.3391066510108
630,116,-476,1333.558716,3142.031982,486.2105103,48.16105591,59.17727511,115.6303558,169.0509357,15.55980307,48.16105591,59.17727511,0.523570094,0.056123701,2238.416225,0.813843757,7145,87.29,1645.0739801667462,2557.1231128450363,78916.37101207035,2630.3992682912326
631,116,-476,1338.701538,3140.219971,423.2619629,48.50356902,59.17053817,114.0416489,169.5493303,15.66612309,48.50356902,59.17053817,0.528796294,0.030325089,2254.078813,0.819724993,7145,87.29,1660.5366830095873,2574.116793746435,79211.6904524667,2656.1806783068664
632,116,-476,1339.370605,3138.112061,352.3972778,48.59008169,58.64688958,110.3778381,168.8180143,15.46880054,48.59008169,58.64688958,0.527015821,0.026813287,2238.115496,0.82851933,7145,87.29,1653.834704217917,2599.986502244639,78549.9199781328,2611.4121907655676
633,116,-476,1338.114014,3138.113525,285.9316711,48.83917919,58.15737555,106.44767,168.3886256,15.41387419,48.83917919,58.15737555,0.529685087,0.009762099,2230.812338,0.839776189,7145,87.29,1662.211935505502,2635.313016673856,77821.19924091596,2595.5210900254133
634,116,-476,1335.126831,3138.360352,223.432785,49.42120151,57.69619058,105.4782867,168.510735,15.14303993,49.42120151,57.69619058,0.524899946,0.007766817,2239.496152,0.856576509,7145,87.29,1647.325179293341,2688.2457543001715,77031.73208984746,2551.764788738649
635,116,-476,1327.27002,3138.074707,153.5589142,49.04814979,57.25729922,102.0898361,167.2332451,15.37795232,49.04814979,57.25729922,0.537107779,0.006686011,2205.68439,0.856627023,7145,87.29,1685.4843362128456,2688.1595942090075,75995.89668087538,2571.7048694666737
636,116,-464,1336.030518,3135.986816,85.50791931,49.38688848,57.40260461,94.54353333,167.9809008,15.19518914,49.38688848,57.40260461,0.529323492,0.028447044,2226.553553,0.860359714,7145,87.29,1659.9514923110814,2698.076720121531,76691.6315716475,2552.5015595635773
637,45,-1808,1313.654785,1620.152344,1134.839966,48.16895002,49.02475724,8.778721809,152.6744776,1.492406132,48.16895002,49.02475724,0.020611422,0.058839172,1854.69505,0.982543367,7145,87.29,33.393643666473174,1591.8699391267023,64401.60693178939,227.85232657013663
638,45,-1808,1314.654419,1620.030273,1082.842407,48.59112083,49.13637622,2.95550704,153.511188,2.216492392,48.59112083,49.13637622,0.062441561,0.067162532,1875.210053,0.988903224,7145,87.29,101.15721911337616,1602.0531599473002,64597.354131269516,340.2563802888817
639,45,-1808,1316.572632,1621.02002,1017.814575,48.68827661,49.23867088,168.0447388,153.8245042,2.923882253,48.68827661,49.23867088,0.107612743,0.049052963,1882.871167,0.98882191,7145,87.29,174.44241081011484,1602.900112324638,64826.286516663364,449.764737906904
640,45,-1808,1313.654785,1619.678467,964.1209717,48.30522604,49.79923944,170.5868073,154.1110688,3.548483607,48.30522604,49.79923944,0.136041823,0.038095408,1889.325169,0.969999273,7145,87.29,220.34401132452535,1571.0869354837544,65419.00917971672,546.8606012940492
641,45,-1808,1318.786987,1608.964966,714.4642334,49.14092811,51.01296642,165.2459717,157.335111,7.607288542,49.14092811,51.01296642,0.297712362,0.03274155,1968.85537,0.963302697,7145,87.29,479.0087604031097,1549.9202911263133,67275.23628296398,1196.8935871645983
642,45,-1808,1318.285889,1607.268921,657.7303467,49.45081062,51.42460755,162.6988373,158.469903,8.180990658,49.45081062,51.42460755,0.317216272,0.034948801,1997.25852,0.961617657,7145,87.29,509.8518552210826,1545.5781739809381,67792.33448052786,1296.4407960171661
643,45,-1808,1315.242798,1604.505737,594.3874512,49.09425522,52.05603355,163.8076324,158.9205602,9.39587488,49.09425522,52.05603355,0.360369835,0.031752188,2007.204542,0.943104034,7145,87.29,578.2154676992434,1513.215833140843,68466.32321908388,1493.1976994987078
644,45,-1808,1314.872803,1603.49231,537.5935669,49.59523827,52.36998407,158.6205139,160.1962501,9.782884446,49.59523827,52.36998407,0.368045619,0.075430754,2039.916093,0.947016486,7145,87.29,590.1583197956899,1518.5336527442228,68859.86774718625,1567.1814034108158
645,45,-1808,1311.647705,1605.080078,474.4339905,49.29238263,53.18761856,163.5769043,161.0333565,10.49829873,49.29238263,53.18761856,0.390602537,0.063943751,2059.113272,0.926764235,7145,87.29,626.9483505549579,1487.5308106014104,69763.41781863941,1690.5762820315872
646,45,-1808,1310.920532,1601.368896,415.2937622,49.15572602,53.40850456,159.6574402,161.1767725,11.26959551,49.15572602,53.40850456,0.412738947,0.107435946,2061.932358,0.920372634,7145,87.29,660.9473118935925,1473.856108817192,70014.30521111963,1816.3970316822915
647,45,-1808,1307.884033,1600.138306,354.948761,49.07957505,53.86905184,160.0052795,161.7988383,12.30220307,49.07957505,53.86905184,0.447161538,0.116990655,2076.490778,0.911090383,7145,87.29,715.5203059236746,1457.8706220665113,70454.47277438527,1990.4821652566934
648,45,-1808,1310.550049,1597.536987,289.1922607,48.46771411,54.57015766,161.5413971,161.9934704,13.17257614,48.46771411,54.57015766,0.474475959,0.102773224,2077.292377,0.888172514,7145,87.29,757.9928939447955,1418.8884419517751,71516.92279525072,2133.8713230268363
649,45,-1808,1309.390503,1590.418457,219.4828949,48.03476647,55.34733893,163.0424957,162.595416,14.07091193,48.03476647,55.34733893,0.502160236,0.105050623,2088.056809,0.867878518,7145,87.29,798.6449077058759,1380.2900134610068,72471.27996126418,2287.8657787577126
650,45,-1808,1312.741943,1588.628052,158.1852722,48.49892342,56.06020213,161.6997375,164.4558885,15.01265976,48.49892342,56.06020213,0.525910867,0.125378674,2135.387219,0.865122165,7145,87.29,835.4767561678411,1374.3573397259727,73592.57866910895,2468.9202995789965
651,45,-1808,1313.944214,1584.042603,85.27902222,48.39502513,56.78855181,162.5441437,165.4851084,15.94927476,48.39502513,56.78855181,0.553882279,0.111556828,2158.496729,0.852196853,7145,87.29,877.3731269827323,1349.9161212945285,74616.98907218874,2639.367462559984
652,416,-2979,1269.999207,3407.580078,1112.137329,49.35099847,66.31961131,119.0023117,182.6738161,24.66800133,49.35099847,66.31961131,0.739082696,0.095194036,2570.560308,0.744138838,7145,87.43,2518.4834708841304,2535.7126796348693,84225.85377224823,4506.197938510975
653,416,-2979,1283.330688,3409.219971,1040.192505,50.09427828,66.10746322,116.2752762,183.3968678,24.89129354,50.09427828,66.10746322,0.747178543,0.113692907,2600.929003,0.757770392,7145,87.43,2547.2960106982823,2583.4059538388983,84837.7362560573,4564.9852707263735
