aruco_ids,fruit_id,height,x,y,ma,MA,angle,perimeter,coff,calyx_MA,calyx_ma,calyx_MA_rel,calyx_ma_rel,area,maMAratio,KPIN,gt_weight,x_calyx_MA_rel,x_maMAratio,height_calyx_ma,perimeter_coff
550,-2704,1142.795288,2991.315674,912.2629395,43.55652324,57.10913191,106.043663,158.8425683,13.96403794,43.55652324,57.10913191,0.48711311,0.054801179,1953.658478,0.76268929,4217,53.65,1457.1090809538862,2281.444427568931,65264.04684851845,2218.0836502282414
550,-2704,1141.750366,2993.448486,834.0125732,43.7569757,58.11938937,102.2459106,160.823146,12.71504563,43.7569757,58.11938937,0.433967814,0.080924788,1997.368617,0.752880858,4217,53.65,1299.0602957910296,2253.710064518481,66357.83408489401,2044.8736397501523
550,-2704,1144.231689,2997.218994,762.3546143,43.04759276,58.14102263,101.4825745,159.8320437,12.57154792,43.04759276,58.14102263,0.43018405,0.059850457,1965.718922,0.740399649,4217,53.65,1289.3558055758456,2219.139891133733,66526.80052411213,2009.3361965260844
550,-2704,1147.407104,3000.532227,677.822876,43.50359176,57.59502451,100.6066132,159.5775768,12.77523047,43.50359176,57.59502451,0.443406578,0.011544908,1967.886125,0.755335936,4217,53.65,1330.4557269527893,2266.4098181792097,66084.94027782812,2038.6403214641252
550,-2704,1144.776978,3009.08667,610.3408203,43.0536234,58.31277105,98.28390503,160.1292826,12.47103976,43.0536234,58.31277105,0.427700192,0.006755154,1971.801845,0.738322371,4217,53.65,1286.9869465036406,2221.676004738895,66755.1178214249,1996.9786500448763
550,-2704,1132.534424,3012.838867,537.7805176,43.11424611,57.27239138,94.57782745,158.4720843,12.43278596,43.11424611,57.27239138,0.433684325,0.031814174,1939.349109,0.752792839,4217,53.65,1306.6209903686597,2268.0435241384735,64862.954782650864,1970.2495047369766
550,-2704,1138.364258,3014.788818,464.6727295,43.7722639,57.23435495,93.1111908,159.3661976,12.67577627,43.7722639,57.23435495,0.442937185,0.003647975,1967.640182,0.764790028,4217,53.65,1335.3620724143973,2305.680424532307,65153.544004765376,2020.0902657782108
550,-2704,1137.557739,3019.512695,387.865387,43.62994749,57.475355,91.04382324,159.5612686,12.1396861,43.62994749,57.475355,0.422420387,0.015216318,1969.501129,0.759107055,4217,53.65,1275.503721173313,2292.133389436563,65381.53488202235,1937.0237145217866
550,-2704,1132.888306,3015.604492,323.2392578,43.72042818,57.94621383,89.15228271,160.4802356,12.6743644,43.72042818,57.94621383,0.435699632,0.04608771,1989.753845,0.75450017,4217,53.65,1313.897767421947,2275.274101866764,65646.58802498247,2033.9849849922525
550,-2704,1136.092773,3017.768311,238.7013245,44.60600706,58.56181328,88.46951294,162.7978368,13.04018314,44.60600706,58.56181328,0.444251316,0.041157396,2051.623881,0.761691016,4217,53.65,1340.6475435448472,2298.607010858194,66531.65284118343,2122.9136066678316
839,-2455,1325.275024,3767.609375,1024.44165,43.14178735,63.61749793,114.5679398,169.2428249,18.03050505,43.14178735,63.61749793,0.562170265,0.088626993,2155.582254,0.678143416,4217,53.71,2118.0379607602345,2554.9794917161253,84310.6810960007,3051.5336090357155
839,-2455,1329.368896,3764.991943,984.4240723,43.42014586,62.80811165,112.8352814,168.2554442,17.9111495,43.42014586,62.80811165,0.564681663,0.089705684,2141.888681,0.691314302,4217,53.71,2126.021911554841,2602.792777110669,83495.15004400523,3013.648415255108
839,-2455,1320.858643,3770.410156,956.492981,42.97069351,61.92163262,111.7022095,166.111787,17.89651655,42.97069351,61.92163262,0.573966943,0.094603503,2089.799605,0.693952851,4217,53.71,2164.090791095473,2616.486877195555,81789.72363479773,2972.822345195575
839,-2455,1323.463867,3769.630371,914.1373291,43.25053152,61.87386877,109.3195419,166.4271745,17.59557459,43.25053152,61.87386877,0.564348886,0.08395523,2101.78652,0.699011269,4217,53.71,2127.386700505617,2635.014109293651,81887.82962859473,2928.381762717696
839,-2455,1305.579834,3771.623779,884.887146,43.10824033,60.41259367,108.8517685,163.7480437,17.18486003,43.10824033,60.41259367,0.560854568,0.12708125,2045.397205,0.713563807,4217,53.71,2115.3324252295724,2691.2942223149666,78873.46401518804,2813.9872111708232
839,-2455,1332.838135,3772.498047,835.743103,45.08657419,61.81155547,107.0149307,168.9443592,17.02346962,45.08657419,61.81155547,0.545499221,0.094931694,2188.803586,0.729419828,4217,53.71,2057.8947458625216,2751.7348765730762,82384.79831408385,2876.0191663115675
839,-2455,1272.725586,3787.310059,828.0235596,43.63329422,58.93945111,104.1565475,162.0190768,16.38565185,43.63329422,58.93945111,0.552820323,0.068098848,2019.826058,0.740307102,4217,53.71,2093.7019701175286,2803.7725341537393,75013.7474524931,2654.788185503212
839,-2455,1323.94458,3786.876709,770.5853882,46.16147389,61.22202415,101.9512405,169.5081029,16.68025667,46.16147389,61.22202415,0.539048928,0.083031354,2219.612862,0.754001105,4217,53.71,2041.311830454618,2855.3092230847633,81054.56705002162,2827.4386640167713
