aruco_ids,fruit_id,x,y,ma,MA,angle,perimeter,coff,calyx_MA,calyx_ma,calyx_MA_rel,calyx_ma_rel,area,maMAratio,KPIN,gt_weight
425,-1811,828.4087524,204.4487152,45.53209777,62.29908543,108.9688339,170.406203,16.44214245,45.53209777,62.29908543,0.523853063,0.088708712,2227.866752,0.730863021,7145,83.44
445,-1798,971.4517212,82.13400269,46.93972534,55.25863938,126.2239914,160.798845,16.35906556,46.93972534,55.25863938,0.58284978,0.136316289,2037.18567,0.849454961,7145,75.89
98,-1828,3515.994629,460.9610291,50.90276186,61.23287818,72.79995728,176.516153,19.72136515,50.90276186,61.23287818,0.638455092,0.086691917,2448.025298,0.831297881,7145,88.27
493,-1848,2545.080078,543.9152222,51.08739485,54.60339263,31.5960598,166.0646364,13.2091339,51.08739485,54.60339263,0.48239876,0.046170807,2190.903582,0.935608437,7145,97.13
97,-1867,1981.098022,777.8942261,50.63226056,56.37969872,31.17879677,168.215235,13.30839442,50.63226056,56.37969872,0.449529947,0.150472847,2242.022413,0.898058374,7145,114.98
450,-1817,2614.769043,324.2060852,46.00144951,56.81574516,48.17092514,161.9518549,17.29063533,46.00144951,56.81574516,0.608648739,0.01306857,2052.721849,0.809660234,7145,85.31
45,-1808,1584.042603,85.27902222,48.39502513,56.78855181,162.5441437,165.4851084,15.94927476,48.39502513,56.78855181,0.553882279,0.111556828,2158.496729,0.852196853,7145,87.29
425,-1811,823.642395,132.8815765,46.62111695,62.15957292,113.909584,171.7450356,16.73857526,46.62111695,62.15957292,0.536834536,0.071738324,2276.043601,0.750023122,7145,83.44
98,-1828,3517.676514,402.5053711,51.20786202,61.22423546,71.00302124,176.9585211,20.00560883,51.20786202,61.22423546,0.651455813,0.065143699,2462.350635,0.836398554,7145,88.27
493,-1848,2545.254395,482.0345459,50.43880298,54.21452103,41.37582397,164.4425554,12.03522808,50.43880298,54.21452103,0.434171838,0.095721883,2147.683487,0.930355964,7145,97.13
450,-1817,2615.44873,263.1878052,45.49175759,57.26990273,49.65143585,161.9482048,17.89278349,45.49175759,57.26990273,0.624773181,0.0266296,2046.204536,0.794339704,7145,85.31
97,-1867,1979.841309,718.215271,50.55541589,56.02866459,29.33828735,167.532272,12.44502788,50.55541589,56.02866459,0.407037131,0.19392507,2224.681484,0.902313419,7145,114.98
496,-1885,3669.812744,973.2174072,45.8746723,60.02125715,98.17826843,167.0839032,18.89431527,45.8746723,60.02125715,0.629046014,0.042684386,2162.558895,0.764307088,7145,79.76
425,-1811,820.0984497,74.24963379,45.31611046,61.02251059,117.7242203,167.9485689,17.15562855,45.31611046,61.02251059,0.561193283,0.05289421,2171.863764,0.742613013,7145,83.44
450,-1817,2613.720947,183.1047363,45.46788647,57.89884232,47.7418251,162.9556772,18.06686679,45.46788647,57.89884232,0.623460708,0.024956148,2067.590502,0.785298715,7145,85.31
98,-1828,3515.033691,323.9746704,50.86397102,61.91805196,68.22357941,177.5833096,19.89676081,50.86397102,61.91805196,0.638663869,0.074727996,2473.531405,0.821472404,7145,88.27
493,-1848,2543.52417,400.3739929,50.47480608,54.54938429,50.54763412,165.033696,11.3852562,50.47480608,54.54938429,0.396317984,0.148726584,2162.491422,0.925304781,7145,97.13
97,-1867,1978.496826,638.3404541,50.68822419,55.37219183,34.0335083,166.6805552,11.99448538,50.68822419,55.37219183,0.401094642,0.173559349,2204.39122,0.915409387,7145,114.98
496,-1885,3666.784668,895.8544922,46.20454465,59.81732683,95.48216248,167.2258448,18.77237304,46.20454465,59.81732683,0.626695986,0.047856378,2170.70885,0.77242744,7145,79.76
